NAME,LABEL
C200AR1B513R ,"Two or More Races, EOC Reading I Rate "
C200AR2B513R ,"Two or More Races, EOC Reading II Rate "
C200AR3B513R ,"Two or More Races, EOC Reading III Rate "
C200AUSB513R ,"Two or More Races, EOC US History Rate "
C200AWGB513R ,"Two or More Races, EOC World Geography Rate "
C200AWHB513R ,"Two or More Races, EOC World History Rate "
C200AW1B513R ,"Two or More Races, EOC Writing I Rate "
C200AW2B513R ,"Two or More Races, EOC Writing II Rate "
C200AW3B513R ,"Two or More Races, EOC Writing III Rate "
CW00AA1B513R ,"White, EOC Algebra I Rate "
CW00AA2B513R ,"White, EOC Algebra II Rate "
CW00ABIB513R ,"White, EOC Biology Rate "
CW00ACHB513R ,"White, EOC Chemistry Rate "
CW00AGEB513R ,"White, EOC Geometry Rate "
CW00APHB513R ,"White, EOC Physics Rate "
CW00AR1B513R ,"White, EOC Reading I Rate "
CW00AR2B513R ,"White, EOC Reading II Rate "
CW00AR3B513R ,"White, EOC Reading III Rate "
CW00AUSB513R ,"White, EOC US History Rate "
CW00AWGB513R ,"White, EOC World Geography Rate "
CW00AWHB513R ,"White, EOC World History Rate "
CW00AW1B513R ,"White, EOC Writing I Rate "
CW00AW2B513R ,"White, EOC Writing II Rate "
CW00AW3B513R ,"White, EOC Writing III Rate"
