CAMPUS,C000A002G16R,C200A002G16R,C2408FR16R,C300A002G16R,C3408FR16R,C400A002G16R,C4408FR16R,CA00A002G16R,CA408FR16R,CB00A002G16R,CB408FR16R,CE00A002G16R,CE408FR16R,CF00A002G16R,CF408FR16R,CH00A002G16R,CH408FR16R,CI00A002G16R,CI408FR16R,CL408FR16R,CM00A002G16R,CM408FR16R,CR00A002G16R,CR408FR16R,CS00A002G16R,CS408FR16R,CW00A002G16R,CW408FR16R
1908002,-1,-1,.,-1,.,.,.,47,.,-1,.,48,.,47,.,-1,.,.,.,.,-1,.,-1,.,-1,.,43,.
1908041,77,-1,-1,-1,.,.,.,65,37,70,35,68,32,72,49,62,36,-1,.,-1,60,25,70,36,70,25,64,39
1908101,61,58,-1,.,.,.,.,63,24,63,-1,63,17,67,31,67,31,-1,-1,-1,60,19,60,21,59,17,62,25
1908102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1909001,-1,.,.,.,.,.,.,54,.,.,.,-1,.,57,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,52,.
1909101,.,-1,-1,.,.,.,.,65,45,-1,.,67,47,63,-1,-1,-1,.,.,.,67,44,61,48,-1,-1,67,42
2901001,-1,-1,.,-1,.,.,.,52,.,-1,.,42,.,58,.,50,.,-1,.,.,46,.,40,.,-1,.,59,.
2901002,.,.,.,.,.,.,.,-1,.,.,.,-1,.,0,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.
2901041,62,-1,-1,-1,.,.,.,65,37,-1,-1,59,25,65,36,65,39,-1,-1,35,65,37,62,37,58,15,65,28
2901101,67,.,.,-1,.,.,.,67,.,.,.,63,.,66,.,66,.,.,.,.,68,.,67,.,.,.,-1,.
2901104,60,75,.,-1,.,.,.,70,37,-1,-1,69,29,74,40,70,34,-1,.,27,67,35,71,32,63,17,69,52
2901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3801001,-1,-1,.,-1,.,.,.,57,44,42,-1,51,38,59,41,-1,-1,.,.,-1,54,45,-1,-1,-1,-1,60,59
3801103,47,-1,.,-1,.,.,.,63,47,61,54,62,39,63,35,56,-1,.,.,-1,62,54,53,35,-1,-1,65,59
3902001,-1,-1,.,-1,.,.,.,55,.,-1,.,51,.,60,.,55,.,-1,.,.,50,.,42,.,-1,.,56,.
3902004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3902041,62,-1,-1,-1,.,.,.,67,53,50,42,62,50,68,57,63,45,-1,.,50,66,49,59,51,60,32,70,60
3902101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3902102,73,-1,.,-1,.,.,.,77,51,84,-1,77,52,76,59,74,44,-1,.,53,79,45,78,53,77,32,79,57
3903001,-1,-1,.,-1,.,-1,.,54,.,49,.,49,.,56,.,51,.,-1,.,.,52,.,38,.,44,.,63,.
3903004,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,100,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
3903044,58,75,75,75,-1,.,.,64,35,59,30,61,33,67,40,63,39,-1,-1,27,61,32,60,36,63,15,68,33
3903120,66,-1,-1,-1,-1,.,.,67,45,60,41,66,45,69,44,68,47,-1,.,-1,65,46,68,46,64,-1,72,42
3903121,63,-1,.,88,-1,.,.,67,-1,64,-1,61,-1,68,-1,64,-1,-1,.,-1,66,-1,59,-1,50,-1,69,-1
3903122,61,-1,-1,-1,-1,.,.,60,37,65,37,59,31,68,46,59,40,.,.,-1,54,29,61,35,-1,-1,59,-1
3903123,68,-1,.,.,.,.,.,71,41,70,36,71,40,67,52,70,49,.,.,43,74,32,70,41,48,-1,76,-1
3903124,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903126,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903127,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903128,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903129,66,-1,-1,-1,.,.,.,69,53,81,-1,66,52,70,59,66,58,-1,.,55,67,48,66,51,75,-1,77,-1
3903130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903141,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3903201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3904001,-1,-1,.,.,.,.,.,48,.,-1,.,35,.,49,.,-1,.,-1,.,.,46,.,35,.,-1,.,48,.
3904005,.,.,.,.,.,.,.,-1,.,.,.,-1,.,100,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.
3904041,-1,-1,-1,.,.,.,.,68,24,-1,-1,68,25,70,31,74,-1,-1,-1,-1,66,19,62,24,-1,-1,67,22
3904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3904102,-1,-1,-1,-1,-1,.,.,64,33,-1,-1,64,36,62,37,-1,-1,-1,.,-1,67,30,70,33,-1,-1,65,33
3905001,-1,-1,.,-1,.,.,.,49,.,-1,.,44,.,52,.,48,.,-1,.,.,46,.,-1,.,-1,.,59,.
3905004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3905041,74,-1,-1,.,.,.,.,70,46,70,38,69,45,75,61,67,44,.,.,47,66,36,72,46,-1,-1,76,86
3905101,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,27,.,-1,.,.,.,.,-1,.,-1,.,-1,.,.,.
3905102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3905103,68,-1,-1,-1,.,.,.,66,28,63,33,65,28,68,32,65,27,.,.,20,63,24,65,27,56,-1,70,-1
3906001,-1,-1,.,.,.,.,.,55,24,-1,.,49,-1,61,-1,-1,-1,-1,.,-1,50,-1,56,31,-1,-1,53,-1
3906004,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.
3906101,.,.,.,.,.,.,.,66,-1,.,.,60,-1,69,-1,-1,.,.,.,.,64,-1,67,-1,-1,-1,68,-1
3907001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,47,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
3907004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
3907041,-1,-1,-1,.,.,.,.,61,40,68,-1,60,32,62,43,68,37,-1,-1,-1,60,38,60,39,-1,-1,59,42
3907102,-1,.,.,.,.,.,.,52,29,-1,-1,52,-1,47,-1,-1,-1,.,.,-1,57,-1,51,29,-1,-1,58,-1
4901001,-1,-1,.,-1,.,.,.,36,.,-1,.,36,.,40,.,-1,.,-1,.,.,32,.,31,.,-1,.,40,.
4901041,55,-1,-1,67,-1,-1,.,55,28,-1,-1,53,21,59,32,51,19,-1,.,-1,50,25,52,27,51,-1,58,36
4901101,74,72,-1,-1,-1,.,.,66,32,-1,-1,67,32,65,38,65,28,-1,.,-1,67,26,66,31,60,11,66,33
4901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4901103,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,50,.,-1,.,.,.,.,-1,.,-1,.,.,.,.,.
5901001,-1,-1,-1,.,.,.,.,51,36,.,.,-1,-1,57,-1,-1,-1,.,.,.,46,-1,-1,36,-1,-1,47,-1
5901101,-1,-1,-1,.,.,.,.,59,-1,.,.,60,-1,64,-1,-1,-1,-1,.,.,55,-1,55,-1,-1,-1,60,-1
5902001,.,-1,.,.,.,.,.,58,.,-1,.,-1,.,59,.,-1,.,.,.,.,58,.,-1,.,-1,.,61,.
5902041,-1,-1,-1,.,.,.,.,73,56,-1,.,-1,-1,74,86,-1,-1,-1,.,.,72,44,60,52,-1,-1,73,55
5902101,.,-1,-1,.,.,.,.,80,-1,.,.,74,-1,79,-1,-1,.,-1,.,.,80,-1,79,-1,88,-1,79,-1
5904001,.,-1,.,.,.,.,.,70,.,.,.,-1,.,71,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,79,.
5904041,-1,.,.,.,.,.,.,72,-1,.,.,82,-1,82,-1,78,-1,-1,.,-1,64,-1,74,-1,-1,-1,70,-1
5904101,-1,.,.,.,.,.,.,65,-1,.,.,63,-1,59,-1,-1,-1,.,.,-1,71,-1,65,-1,-1,-1,67,-1
6902001,-1,-1,.,.,.,.,.,61,50,-1,-1,63,50,58,-1,-1,.,-1,.,.,63,-1,61,56,-1,-1,61,-1
6902101,-1,-1,.,.,.,.,.,75,69,-1,.,83,67,79,-1,80,-1,.,.,-1,70,83,86,63,70,-1,72,70
7901001,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,45,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
7901041,-1,.,.,.,.,.,.,55,23,.,.,53,26,57,44,52,22,.,.,-1,53,-1,54,18,67,-1,-1,-1
7901101,-1,.,.,.,.,.,.,64,-1,.,.,64,-1,64,-1,63,-1,.,.,.,65,-1,65,-1,-1,-1,-1,.
7902001,-1,-1,.,-1,.,.,.,45,.,-1,.,-1,.,46,.,41,.,.,.,.,-1,.,-1,.,-1,.,52,.
7902005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7902006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7902041,-1,-1,.,.,.,.,.,69,37,-1,-1,67,36,71,45,67,39,.,.,-1,66,29,66,36,46,16,71,33
7902101,69,-1,.,.,.,.,.,72,37,-1,-1,72,33,74,54,70,37,.,.,-1,71,20,70,38,52,-1,76,-1
7904001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,36,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
7904002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7904041,62,.,.,.,.,.,.,60,32,-1,-1,60,32,62,37,60,32,.,.,33,59,28,57,31,-1,-1,62,26
7904101,58,-1,.,.,.,-1,-1,71,30,-1,.,70,24,71,32,69,30,-1,-1,-1,72,29,73,30,-1,-1,81,-1
7904103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7905001,-1,-1,.,.,.,.,.,37,.,-1,.,33,.,37,.,34,.,-1,.,.,36,.,25,.,-1,.,-1,.
7905005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7905041,-1,-1,-1,-1,.,-1,-1,64,37,.,.,65,35,68,39,64,35,-1,.,-1,62,35,65,36,56,-1,63,48
7905103,43,-1,.,-1,.,.,.,35,10,.,.,33,-1,32,-1,32,9,.,.,-1,38,17,35,10,-1,-1,45,-1
7905104,63,-1,-1,-1,-1,-1,.,65,30,-1,-1,62,23,63,31,63,27,-1,-1,-1,67,29,65,29,71,-1,70,47
7905105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
7906001,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,39,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
7906041,50,-1,-1,-1,.,.,.,56,29,.,.,58,30,59,38,57,30,.,.,-1,52,22,56,29,55,-1,50,-1
7906101,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,80,.,-1,.,.,.,.,-1,.,-1,.,-1,.,.,.
7906102,77,-1,.,.,.,.,.,65,37,.,.,64,37,67,43,65,35,-1,-1,-1,61,31,68,35,-1,-1,63,67
8901001,-1,-1,.,-1,.,.,.,51,.,-1,.,50,.,60,.,-1,.,.,.,.,42,.,-1,.,-1,.,56,.
8901041,48,-1,-1,-1,-1,-1,.,67,37,62,38,61,34,70,44,58,38,.,.,33,64,33,62,37,-1,-1,73,35
8901101,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,50,.,-1,.,.,.,.,-1,.,-1,.,.,.,.,.
8901102,52,-1,-1,-1,-1,.,.,62,37,68,-1,60,36,63,45,57,38,-1,.,31,61,32,61,36,58,-1,64,36
8901105,-1,-1,-1,.,.,.,.,57,-1,-1,.,-1,-1,57,-1,-1,-1,.,.,-1,56,-1,68,-1,-1,-1,59,-1
8902001,-1,-1,.,-1,.,-1,.,47,.,-1,.,42,.,53,.,45,.,.,.,.,40,.,-1,.,-1,.,53,.
8902041,53,60,-1,-1,.,.,.,52,37,50,35,50,29,51,38,51,34,-1,-1,29,53,37,51,33,45,16,53,47
8902102,44,.,.,.,.,.,.,44,.,.,.,46,.,38,.,44,.,.,.,.,-1,.,44,.,-1,.,.,.
8902103,61,70,.,-1,-1,.,.,64,30,68,43,63,33,64,28,62,31,-1,.,26,64,32,67,31,59,-1,64,23
8903001,-1,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,26,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
8903041,76,-1,.,-1,.,.,.,73,44,70,-1,73,38,72,43,72,30,.,.,50,74,45,76,44,-1,-1,74,75
8903102,61,-1,.,-1,.,.,.,59,30,-1,-1,61,32,61,42,57,24,.,.,-1,56,-1,63,30,-1,-1,58,-1
8903103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9901001,-1,.,.,.,.,.,.,59,.,.,.,58,.,59,.,59,.,.,.,.,59,.,-1,.,-1,.,-1,.
9901002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9901041,57,.,.,-1,.,.,.,64,23,-1,.,64,21,64,18,63,22,.,.,-1,64,27,62,20,54,-1,73,-1
9901101,51,.,.,-1,.,.,.,57,28,.,.,56,26,65,37,55,27,.,.,-1,51,22,61,29,57,30,71,-1
9901103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10901001,-1,-1,.,.,.,.,.,59,43,-1,-1,53,-1,59,-1,45,-1,.,.,-1,58,-1,60,42,-1,-1,62,60
10902001,-1,-1,.,-1,.,.,.,41,.,-1,.,-1,.,41,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
10902041,61,-1,-1,-1,.,.,.,59,33,-1,.,55,27,63,38,62,36,.,.,-1,56,30,57,28,47,14,56,26
10902101,71,-1,-1,.,.,-1,.,69,45,-1,.,71,43,76,57,77,60,.,.,-1,62,35,75,45,59,-1,66,36
10902102,-1,-1,-1,-1,.,.,.,64,45,.,.,62,45,62,53,58,-1,.,.,-1,66,37,66,45,-1,-1,66,48
11901001,-1,-1,.,.,.,.,.,44,.,-1,.,-1,.,51,.,-1,.,-1,.,.,40,.,-1,.,-1,.,54,.
11901002,-1,-1,.,-1,.,.,.,42,.,-1,.,-1,.,45,.,-1,.,-1,.,.,39,.,-1,.,-1,.,55,.
11901005,-1,.,.,.,.,.,.,59,.,-1,.,62,.,58,.,54,.,.,.,.,-1,.,-1,.,.,.,-1,.
11901022,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,0,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
11901033,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11901041,65,60,83,-1,-1,-1,.,64,36,65,30,64,35,68,42,64,32,-1,-1,29,60,33,62,34,65,16,63,44
11901101,-1,.,.,-1,.,.,.,64,35,-1,-1,63,38,66,-1,67,-1,.,.,-1,62,-1,67,39,82,-1,62,50
11901102,-1,-1,-1,-1,.,.,.,61,-1,-1,-1,58,-1,61,-1,58,-1,.,.,-1,61,-1,57,-1,-1,-1,63,-1
11901103,60,-1,-1,.,.,.,.,65,35,-1,-1,65,35,62,63,63,36,.,.,-1,68,-1,62,35,-1,-1,81,-1
11901104,52,52,-1,-1,.,.,.,55,13,60,-1,52,9,52,14,53,10,-1,.,-1,58,12,54,11,60,-1,57,20
11901106,58,-1,-1,-1,.,.,.,61,32,67,-1,60,31,66,36,58,29,-1,.,26,56,29,58,31,53,19,69,45
11901107,61,-1,.,-1,.,.,.,55,13,.,.,55,14,57,-1,55,15,.,.,-1,53,-1,55,14,-1,-1,56,-1
11901108,57,79,-1,-1,.,.,.,62,25,70,.,60,22,59,20,59,24,-1,.,21,64,28,58,23,57,14,69,29
11901109,63,-1,.,-1,.,.,.,61,39,-1,-1,62,36,63,56,63,38,-1,-1,-1,60,32,60,38,-1,-1,-1,-1
11901110,59,-1,-1,.,.,.,.,60,20,-1,-1,59,-1,62,-1,59,23,-1,-1,-1,58,-1,59,17,61,-1,-1,-1
11902001,-1,-1,.,-1,.,-1,.,40,.,-1,.,36,.,40,.,35,.,.,.,.,39,.,-1,.,33,.,52,.
11902004,.,.,.,.,.,.,.,-1,.,.,.,.,.,0,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.
11902041,54,57,-1,-1,-1,-1,-1,57,25,53,-1,56,26,59,30,56,29,-1,.,16,54,22,55,24,46,12,60,26
11902101,57,.,.,.,.,.,.,63,35,71,-1,63,33,63,40,62,37,.,.,35,63,29,62,35,-1,-1,64,-1
11902102,49,-1,.,.,.,.,.,58,35,74,-1,56,35,59,42,55,38,.,.,43,56,31,57,34,-1,-1,61,-1
11902103,58,-1,-1,-1,-1,.,.,63,38,57,23,63,40,66,49,65,41,.,.,-1,60,27,62,34,58,32,66,60
11904002,-1,-1,.,-1,.,.,.,48,.,-1,.,-1,.,52,.,-1,.,.,.,.,45,.,-1,.,-1,.,50,.
11904041,-1,-1,-1,-1,.,.,.,64,33,62,-1,62,29,68,32,65,34,-1,-1,-1,61,34,62,33,54,-1,63,36
11904101,41,-1,-1,-1,.,.,.,57,37,48,-1,55,33,57,38,52,41,-1,-1,-1,56,35,60,37,64,-1,60,37
11904102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
11905101,63,.,.,.,.,.,.,67,-1,-1,.,68,-1,71,-1,70,-1,.,.,-1,62,-1,63,-1,-1,-1,63,-1
12901001,-1,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,41,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
12901042,-1,-1,-1,-1,.,.,.,73,69,-1,.,74,62,70,67,80,-1,-1,-1,.,75,71,76,68,79,55,70,65
12901101,-1,-1,.,.,.,.,.,54,-1,.,.,52,-1,56,-1,-1,-1,.,.,.,53,-1,59,-1,-1,-1,55,-1
13801101,-1,-1,.,-1,.,.,.,61,46,-1,.,61,42,60,-1,59,42,.,.,.,63,-1,67,46,-1,-1,65,-1
13901001,-1,-1,.,-1,.,-1,.,32,.,-1,.,29,.,33,.,31,.,.,.,.,31,.,25,.,-1,.,-1,.
13901041,-1,67,-1,-1,.,.,.,63,25,-1,-1,63,21,65,27,63,23,-1,.,-1,61,24,61,23,-1,18,62,40
13901101,52,.,.,.,.,.,.,52,30,-1,-1,52,28,52,29,51,26,.,.,-1,53,32,57,24,-1,35,61,-1
13901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13901104,-1,-1,-1,-1,.,.,.,51,23,-1,.,50,22,53,23,52,23,-1,.,-1,48,22,53,23,52,-1,44,-1
13901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13902101,.,.,.,.,.,.,.,62,29,-1,.,62,-1,63,-1,58,36,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
13903001,-1,-1,-1,-1,.,.,.,46,-1,-1,.,44,-1,47,-1,45,-1,-1,.,.,45,-1,-1,-1,-1,-1,-1,-1
13903101,-1,.,.,.,.,.,.,52,-1,.,.,56,-1,48,-1,47,-1,.,.,.,56,-1,56,-1,-1,-1,-1,-1
13905001,-1,-1,.,-1,.,.,.,55,.,.,.,-1,.,49,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
13905041,.,.,.,93,.,-1,.,76,50,-1,.,76,45,77,50,76,48,-1,.,.,75,50,70,50,77,-1,77,-1
13905101,-1,.,.,-1,.,.,.,61,79,-1,.,60,67,65,86,63,75,-1,.,-1,57,70,72,79,78,-1,61,-1
14801001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,43,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14801002,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,23,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14801003,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,7,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14801004,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,50,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14801005,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,53,.,-1,.,.,.,.,-1,.,-1,.,-1,.,.,.
14801006,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,20,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
14801007,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,24,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14801008,.,.,.,.,.,.,.,-1,.,.,.,-1,.,31,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14803001,.,-1,-1,.,.,-1,-1,61,19,70,-1,57,-1,69,-1,55,-1,.,.,.,53,-1,-1,-1,-1,-1,-1,-1
14803002,-1,-1,.,.,.,.,.,-1,-1,-1,.,-1,.,52,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1
14803003,.,-1,-1,-1,.,.,.,47,-1,-1,-1,-1,-1,43,-1,-1,-1,.,.,.,50,-1,-1,-1,-1,-1,48,-1
14803004,-1,.,.,-1,-1,.,.,56,-1,-1,-1,53,-1,62,-1,-1,.,-1,-1,.,52,-1,-1,-1,-1,-1,54,-1
14803101,.,-1,.,-1,.,.,.,63,54,73,-1,61,-1,56,-1,63,-1,-1,.,.,71,-1,55,56,-1,-1,59,-1
14804002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14804005,.,-1,.,.,.,.,.,-1,.,.,.,-1,.,43,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
14804006,-1,78,-1,69,-1,.,.,63,48,53,-1,63,-1,62,63,59,-1,-1,.,-1,64,38,55,45,55,-1,64,52
14901001,-1,-1,.,-1,.,.,.,52,.,-1,.,-1,.,56,.,-1,.,-1,.,.,48,.,-1,.,-1,.,55,.
14901041,54,-1,.,-1,-1,.,.,59,31,73,-1,56,35,66,40,46,31,-1,.,-1,53,23,53,29,-1,26,62,31
14901101,63,-1,.,-1,.,.,.,69,16,-1,-1,64,-1,71,-1,66,-1,-1,-1,-1,68,-1,68,-1,-1,-1,72,-1
14901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14902001,-1,-1,.,.,.,.,.,61,28,-1,-1,58,33,60,55,61,-1,-1,.,-1,61,-1,61,28,-1,-1,69,-1
14903001,-1,-1,.,-1,.,-1,.,52,.,-1,.,44,.,55,.,46,.,-1,.,.,49,.,43,.,40,.,56,.
14903005,.,-1,.,-1,.,-1,.,47,.,-1,.,44,.,45,.,-1,.,-1,.,.,48,.,43,.,-1,.,45,.
14903006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
14903043,43,48,-1,81,.,.,.,62,34,61,39,57,29,64,34,61,28,-1,-1,26,61,33,57,34,57,17,63,38
14903044,45,-1,-1,100,.,-1,.,56,29,58,-1,52,29,58,34,57,33,-1,-1,18,53,25,52,28,53,11,53,24
14903045,69,70,-1,83,-1,-1,.,65,42,60,-1,64,35,66,38,63,29,-1,.,45,65,45,60,38,63,19,66,46
